Date,Ticker,Open,High,Low,Close,Volume,Daily_Percent_Return,MA_50,MA_200,Dividends,Stock Splits
2024-11-25 05:00:00,COST,969.94,969.94,944.76,955.9,3240900,-0.3236,896.73,819.46,0.0,0.0
2024-11-26 05:00:00,COST,959.0,969.31,955.9,966.46,1438000,1.1042,898.23,820.72,0.0,0.0
2024-11-27 05:00:00,COST,966.42,967.24,953.61,956.56,1499500,-1.0242,899.62,821.96,0.0,0.0
2024-11-29 05:00:00,COST,963.06,968.22,957.47,966.83,1095900,1.0743,901.06,823.22,0.0,0.0
2024-12-02 05:00:00,COST,966.32,971.43,959.75,969.94,1955800,0.321,902.44,824.48,0.0,0.0
2024-12-03 05:00:00,COST,969.63,977.9,965.72,977.05,1653900,0.7333,903.76,825.78,0.0,0.0
2024-12-04 05:00:00,COST,976.9,986.0,972.48,985.78,1784700,0.8929,905.56,827.12,0.0,0.0
2024-12-05 05:00:00,COST,981.54,984.99,973.12,977.16,2089400,-0.8739,907.05,828.42,0.0,0.0
2024-12-06 05:00:00,COST,977.16,992.53,977.16,987.46,1737300,1.0537,908.89,829.72,0.0,0.0
2024-12-09 05:00:00,COST,991.83,991.83,975.41,982.73,1855500,-0.4785,910.95,830.98,0.0,0.0
2024-12-10 05:00:00,COST,984.59,989.82,980.76,988.24,1556800,0.5608,913.1,832.23,0.0,0.0
2024-12-11 05:00:00,COST,989.83,1002.57,988.43,989.53,1903600,0.1299,915.46,833.49,0.0,0.0
2024-12-12 05:00:00,COST,996.48,997.27,982.09,983.26,2344300,-0.6334,917.66,834.7,0.0,0.0
2024-12-13 05:00:00,COST,975.91,1001.45,960.72,984.21,2951900,0.0971,919.95,835.94,0.0,0.0
2024-12-16 05:00:00,COST,983.92,1003.02,981.25,987.72,2581300,0.3558,922.16,837.17,0.0,0.0
2024-12-17 05:00:00,COST,988.84,991.74,975.67,976.98,2050200,-1.0868,924.34,838.29,0.0,0.0
2024-12-18 05:00:00,COST,976.9,980.48,959.0,959.73,2725300,-1.7656,925.84,839.33,0.0,0.0
2024-12-19 05:00:00,COST,969.45,969.58,948.56,949.84,2610800,-1.0303,926.77,840.25,0.0,0.0
2024-12-20 05:00:00,COST,944.46,956.95,938.15,949.12,5373800,-0.0765,928.0,841.1,0.0,0.0
2024-12-23 05:00:00,COST,948.93,949.31,932.14,944.98,1856800,-0.436,929.23,842.23,0.0,0.0
2024-12-24 05:00:00,COST,945.8,954.4,940.54,953.84,939000,0.938,930.63,843.47,0.0,0.0
2024-12-26 05:00:00,COST,951.85,954.43,949.05,951.18,969000,-0.2795,931.88,844.57,0.0,0.0
2024-12-27 05:00:00,COST,943.8,945.52,927.16,934.82,1943400,-1.7194,932.94,845.61,0.0,0.0
2024-12-30 05:00:00,COST,926.17,929.32,910.75,917.42,1881200,-1.8612,933.7,846.57,0.0,0.0
2024-12-31 05:00:00,COST,918.86,919.94,907.8,911.51,1742900,-0.6441,934.26,847.54,0.0,0.0
2025-01-02 05:00:00,COST,910.25,920.96,897.32,905.09,1765100,-0.705,934.74,848.44,0.0,0.0
2025-01-03 05:00:00,COST,909.58,919.41,906.27,911.82,1612200,0.7441,935.22,849.37,0.0,0.0
2025-01-06 05:00:00,COST,913.21,922.6,908.53,917.92,1970400,0.6688,935.71,850.29,0.0,0.0
2025-01-07 05:00:00,COST,919.04,926.48,911.67,916.59,1888000,-0.1452,936.29,851.2,0.0,0.0
2025-01-08 05:00:00,COST,918.19,925.67,910.67,922.56,1774800,0.6512,937.04,852.17,0.0,0.0
2025-01-10 05:00:00,COST,928.51,939.38,918.71,932.08,2765800,1.032,937.98,853.21,0.0,0.0
2025-01-13 05:00:00,COST,929.15,930.14,916.22,919.9,1693800,-1.3064,938.75,854.19,0.0,0.0
2025-01-14 05:00:00,COST,919.5,922.94,905.2,912.47,1683800,-0.8078,939.53,855.13,0.0,0.0
2025-01-15 05:00:00,COST,922.45,928.03,913.53,918.71,1839400,0.6836,940.54,856.1,0.0,0.0
2025-01-16 05:00:00,COST,919.93,922.59,913.06,914.98,1353000,-0.4061,941.38,857.1,0.0,0.0
2025-01-17 05:00:00,COST,925.17,938.9,919.77,938.29,2375000,2.5485,942.52,858.27,0.0,0.0
2025-01-21 05:00:00,COST,940.34,951.58,938.6,942.81,2042400,0.4813,943.66,859.49,0.0,0.0
2025-01-22 05:00:00,COST,946.29,947.0,934.36,939.8,2155000,-0.3197,944.57,860.69,0.0,0.0
2025-01-23 05:00:00,COST,936.8,938.49,931.63,937.27,1352400,-0.2689,945.13,861.85,0.0,0.0
2025-01-24 05:00:00,COST,937.27,941.13,928.71,934.8,1562400,-0.2632,945.05,862.99,0.0,0.0
2025-01-27 05:00:00,COST,925.17,961.97,922.37,960.24,3044700,2.7211,945.69,864.24,0.0,0.0
2025-01-28 05:00:00,COST,956.84,960.7,949.12,953.69,2166400,-0.6817,946.21,865.43,0.0,0.0
2025-01-29 05:00:00,COST,952.83,963.23,950.04,959.02,1713700,0.5581,946.81,866.6,0.0,0.0
2025-01-30 05:00:00,COST,965.26,981.63,965.06,973.93,1788200,1.5549,947.91,867.84,0.0,0.0
2025-01-31 05:00:00,COST,971.17,985.86,970.71,974.79,1873800,0.0889,949.36,869.16,0.0,0.0
2025-02-03 05:00:00,COST,967.34,1004.37,963.91,1000.61,2751000,2.6483,951.08,870.62,0.0,0.0
2025-02-04 05:00:00,COST,1000.18,1019.03,994.46,1016.56,2001600,1.5937,952.9,872.16,0.0,0.0
2025-02-05 05:00:00,COST,1014.71,1037.68,1014.71,1037.47,2047600,2.057,955.19,873.82,0.0,0.0
2025-02-06 05:00:00,COST,1044.55,1057.48,1038.78,1045.53,2218000,0.7777,957.08,875.54,0.0,0.0
2025-02-07 05:00:00,COST,1042.72,1052.39,1031.27,1039.54,1632900,-0.5734,958.69,877.19,1.16,0.0
2025-02-10 05:00:00,COST,1047.7,1058.65,1041.72,1057.57,2036900,1.735,960.73,878.9,0.0,0.0
2025-02-11 05:00:00,COST,1055.57,1061.64,1044.75,1054.01,1748500,-0.3371,962.48,880.59,0.0,0.0
2025-02-12 05:00:00,COST,1049.84,1062.63,1046.7,1060.76,1662300,0.6406,964.56,882.31,0.0,0.0
2025-02-13 05:00:00,COST,1062.64,1073.82,1060.29,1072.45,1623300,1.1022,966.68,884.05,0.0,0.0
2025-02-14 05:00:00,COST,1072.08,1073.08,1063.64,1067.46,1410700,-0.4652,968.63,885.79,0.0,0.0
2025-02-18 05:00:00,COST,1064.83,1066.62,1040.96,1051.71,2090600,-1.4759,970.12,887.46,0.0,0.0
2025-02-19 05:00:00,COST,1051.74,1058.83,1048.69,1058.19,1349600,0.6165,971.57,889.17,0.0,0.0
2025-02-20 05:00:00,COST,1049.33,1049.33,1029.62,1030.6,2000500,-2.6079,972.64,890.69,0.0,0.0
2025-02-21 05:00:00,COST,1030.38,1031.97,1020.49,1030.79,1816300,0.0193,973.5,892.15,0.0,0.0
2025-02-24 05:00:00,COST,1024.33,1033.94,1021.02,1031.36,1759700,0.0551,974.48,893.56,0.0,0.0
2025-02-25 05:00:00,COST,1036.47,1052.69,1033.21,1051.34,2083800,1.937,975.74,894.99,0.0,0.0
2025-02-26 05:00:00,COST,1045.84,1054.56,1025.96,1027.75,1555700,-2.2441,976.5,896.34,0.0,0.0
2025-02-27 05:00:00,COST,1029.77,1038.26,1014.66,1017.53,1629100,-0.9942,977.19,897.56,0.0,0.0
2025-02-28 05:00:00,COST,1026.39,1045.09,1019.8,1044.32,3307100,2.6328,978.39,898.88,0.0,0.0
2025-03-03 05:00:00,COST,1047.44,1061.64,1036.88,1042.57,2422500,-0.1678,979.49,900.25,0.0,0.0
2025-03-04 05:00:00,COST,1041.45,1043.64,1024.52,1032.63,2536800,-0.9533,980.6,901.55,0.0,0.0
2025-03-05 05:00:00,COST,1028.85,1046.68,1024.29,1043.46,1898600,1.0493,982.27,902.87,0.0,0.0
2025-03-06 05:00:00,COST,1028.72,1041.61,1014.88,1022.42,2594600,-2.0167,983.72,904.04,0.0,0.0
2025-03-07 05:00:00,COST,991.08,998.32,938.92,960.36,5510700,-6.0694,983.95,904.9,0.0,0.0
